,FIPS,Next Import Probability
0,1001,1.944649929244364e-06
1,1003,2.639947310240791e-05
2,1005,1.944649929244364e-06
3,1007,1.944649929244364e-06
4,1009,1.944649929244364e-06
5,1011,1.944649929244364e-06
6,1013,2.725224650181799e-06
7,1015,1.944649929244364e-06
8,1017,1.944649929244364e-06
9,1019,1.944649929244364e-06
10,1021,1.944649929244364e-06
11,1023,1.944649929244364e-06
12,1025,1.944649929244364e-06
13,1027,1.944649929244364e-06
14,1029,1.944649929244364e-06
15,1031,1.944649929244364e-06
16,1033,1.944649929244364e-06
17,1035,1.944649929244364e-06
18,1037,1.944649929244364e-06
19,1039,1.944649929244364e-06
20,1041,1.944649929244364e-06
21,1043,1.944649929244364e-06
22,1045,1.944649929244364e-06
23,1047,2.725224650181799e-06
24,1049,1.944649929244364e-06
25,1051,1.944649929244364e-06
26,1053,2.8519230724512903e-06
27,1055,1.944649929244364e-06
28,1057,1.944649929244364e-06
29,1059,1.944649929244364e-06
30,1061,1.944649929244364e-06
31,1063,1.944649929244364e-06
32,1065,2.725224650181799e-06
33,1067,1.944649929244364e-06
34,1069,1.944649929244364e-06
35,1071,1.944649929244364e-06
36,1073,0.0017207881818815792
37,1075,1.944649929244364e-06
38,1077,1.944649929244364e-06
39,1079,1.944649929244364e-06
40,1081,2.5387975921507834e-05
41,1083,1.944649929244364e-06
42,1085,1.944649929244364e-06
43,1087,2.725224650181799e-06
44,1089,0.0003634279277498275
45,1091,2.725224650181799e-06
46,1093,1.944649929244364e-06
47,1095,1.944649929244364e-06
48,1097,0.0001059072312655819
49,1099,1.944649929244364e-06
50,1101,0.00023710528389839214
51,1103,1.944649929244364e-06
52,1105,1.944649929244364e-06
53,1107,1.944649929244364e-06
54,1109,1.944649929244364e-06
55,1111,1.944649929244364e-06
56,1113,1.944649929244364e-06
57,1115,1.944649929244364e-06
58,1117,8.149432599346995e-05
59,1119,2.725224650181799e-06
60,1121,1.944649929244364e-06
61,1123,1.944649929244364e-06
62,1125,2.542051805997435e-05
63,1127,1.944649929244364e-06
64,1129,2.8519230724512903e-06
65,1131,2.725224650181799e-06
66,1133,1.944649929244364e-06
67,4001,1.944649929244364e-06
68,4003,1.944649929244364e-06
69,4005,2.49242180903521e-05
70,4007,1.944649929244364e-06
71,4009,1.944649929244364e-06
72,4011,1.944649929244364e-06
73,4012,4.140879053269445e-05
74,4013,0.013330782474533192
75,4015,3.456946557911038e-06
76,4017,1.944649929244364e-06
77,4019,0.003122016347988253
78,4021,0.00010160942899347113
79,4023,1.944649929244364e-06
80,4025,4.6653296759017617e-05
81,4027,6.537020341680798e-05
82,5001,1.944649929244364e-06
83,5003,1.944649929244364e-06
84,5005,1.944649929244364e-06
85,5007,4.660780265707389e-05
86,5009,1.944649929244364e-06
87,5011,1.944649929244364e-06
88,5013,1.944649929244364e-06
89,5015,1.944649929244364e-06
90,5017,1.944649929244364e-06
91,5019,1.944649929244364e-06
92,5021,1.944649929244364e-06
93,5023,1.944649929244364e-06
94,5025,1.944649929244364e-06
95,5027,1.944649929244364e-06
96,5029,1.944649929244364e-06
97,5031,1.944649929244364e-06
98,5033,1.944649929244364e-06
99,5035,1.944649929244364e-06
100,5037,1.944649929244364e-06
101,5039,1.944649929244364e-06
102,5041,2.725224650181799e-06
103,5043,1.944649929244364e-06
104,5045,6.3881430151452235e-06
105,5047,1.944649929244364e-06
106,5049,1.944649929244364e-06
107,5051,1.944649929244364e-06
108,5053,1.944649929244364e-06
109,5055,1.944649929244364e-06
110,5057,2.725224650181799e-06
111,5059,1.944649929244364e-06
112,5061,1.944649929244364e-06
113,5063,1.944649929244364e-06
114,5065,1.944649929244364e-06
115,5067,1.4222003548289794e-05
116,5069,1.944649929244364e-06
117,5071,1.944649929244364e-06
118,5073,1.944649929244364e-06
119,5075,1.944649929244364e-06
120,5077,1.4222003548289794e-05
121,5079,1.4222003548289794e-05
